Scott Von Hieneman,"['http://www.lifescript.com/doctor-directory/optometrist/ada-michigan-mi-von-scott-hieneman-od.aspx', 'http://npino.com/optometrist/1760540363-dr.-von-scott-hieneman/', 'http://www.getoptometrist.com/doctor/optometrist-152W00000X/dr-von-scott-hieneman-1760540363/info', 'http://www.visiondirectory.com/eye-doctors/von-scott-hieneman-49345.html', 'http://www.mymedpro.org/Optometrist/Von-Scott-Hieneman-Northwest-Optometry/', 'http://listings.findthecompany.com/l/6851140/Von-Scott-Hieneman-O-D', 'https://healthprovidersdata.com/hipaa/codes/NPI-1760540363-dr-von-scott-hieneman-od', 'http://www.local-health.net/michigan/sparta/northwest-optometry-230548.html', 'https://www.intelius.com/people/Scott-Hieneman/Rockford-MI/0TPN9EHEGGW']"
Paul A Hodge,"['https://www.healthgrades.com/providers/paul-hodge-35kbk', 'https://www.topnpi.com/mi1861498974/dr-paul-hodge', 'https://www.healthcare6.com/physician/allegan-mi/paul-hodge-932210.html', 'https://www.aoa.org/news/inside-optometry/optometry-is-all-in-the-family-hodge?refer=rss', 'https://www.doctorhelps.com/doctor/paul-hodge-fhacaehdcfhehdcdedfghacfhe/', 'http://www.mytime.com/deals/MI/Allegan/Medical-&-Dental/Eye-Exam/Hodge-Paul-A-OD/mt-8oHK7JLj9Vtc5OMLDahiaw', 'https://www.ratemds.com/doctor-ratings/2257250/Dr-PAUL%2BA.-HODGE-Allegan-MI.html', 'https://www.ehealthscores.com/providers/izd-lwclpqwqzp/PAUL-HODGE.html', 'http://americanboardofoptometry.org/board-of-directors/paul-a-hodge-od-faao/', 'http://www.lifescript.com/doctor-directory/optometrist/allegan-michigan-mi-paul-anton-hodge-od']"
Scott Denny,"['https://leadferret.com/directory/person/scott-peterson/26043637', 'https://doctor.webmd.com/doctor/scott-norton-md-7d0d059a-100c-4263-8121-f2c284007e2b-appointments', 'https://doctor.webmd.com/doctor/scott-sturza-md-b93343e6-09eb-4785-811f-42f3ecc315eb-overview', 'http://www.bookofdoctors.com/tek9.asp?pg=doctor&listing=28246&mode=showReviewDetails&review=6284', 'https://issuu.com/scottcountyrecord/docs/screcord05122016', 'https://issuu.com/scottcountyrecord/docs/screcord01232014', 'http://www.suggestadoctor.com/doctor_12318_kevinscott_cooper.htm', 'http://www.localwombat.com/indiana/shelbyville/2297002-scott-john-r--scott-john-r.html', 'https://leadferret.com/directory/person/mark-scott/26014986', 'https://www.bizquest.com/marine-sales-parts-and-service-businesses-for-sale-in-scott-county-mo/']"
Richard T Conflitti,"['https://www.healthcare6.com/physician/allendale-mi/richard-t-conflitti-842563.html', 'https://www.doctorhelps.com/doctor/richard-conflitti-fhacaeacdcdedhddfecfhecfhe/', 'https://www.topnpi.com/mi1780635441/dr-richard-conflitti', 'https://www.medicarelocations.com/mi/doctor/richard-conflitti-1780635441.html', 'https://local.yahoo.com/info-16433528-conflitti-richard-t-od-allendale-eye-care-llc-allendale', 'https://amwell.com/cm/finder/doctor-detail/dr-richard-conflitti-od-allendale-michigan-2863534/', 'https://www.peekyou.com/richard_conflitti', 'https://radaris.com/p/Richard/Conflitti/', 'https://npidb.org/doctors/eye_and_vision/optometrist_152w00000x/1780635441.aspx']"
Nicholas Lilly,"['https://libraries.indiana.edu/nicholas-delbanco-his-novel-years', 'https://www.intelius.com/people-search/Nicholas-Lillie/', 'https://doctor.webmd.com/doctor/nicholas-lopez-md-549a2e87-5fed-46e3-a48d-97eddde206f4-overview', 'https://www.eyeglasses.com/eye-doctors/new-jersey/belvidere/nicholas-m-kavcsak-od/', 'https://www.linkedin.com/in/nicholas-lionas-4992a525', 'https://www.pinterest.com/gamergeek471/', 'https://radaris.com/p/Nicholas/Kowalczyk/', 'https://leadferret.com/directory/person/david-johnson/10021214', 'https://doctor.webmd.com/doctor/nicholas-mondek-md-28da2342-dec5-11e7-9f4c-005056a225bf-overview', 'https://www.pinterest.com/pin/701998660636366962/']"
John O'Grady,"['https://doctor.webmd.com/doctor/john-o-grady-md-744f2bdd-abfc-483e-acce-e1c9b1341f1c-overview', ""https://www.zoominfo.com/p/John-O'Grady/213196193"", 'https://www.covenanthealthcare.com/main/find-a-physician/ogrady_john_142.aspx', 'https://ucdavis.pure.elsevier.com/en/persons/john-l-keltner/network-persons/', 'https://www.pinterest.com/pin/233061349438252445/', 'https://doctor.webmd.com/doctor/john-o-grady-md-744f2bdd-abfc-483e-acce-e1c9b1341f1c-appointments', 'https://www.linkedin.com/title/physician-assistant-at-john-h.-stroger%2C-jr.-hospital-of-cook-county', 'https://alumnius.net/saint_john39s_univer-8672-13', 'https://leadferret.com/directory/person/john-lloyd/22148010', 'http://wikivisually.com/wiki/John_L._May']"
Michael Harkins,"['https://www.topnpi.com/mi1336110212/dr-michael-harkins', 'https://www.healthgrades.com/providers/michael-harkins-3d8nn', 'https://www.healthcare6.com/physician/alpena-mi/michael-k-harkins-357523.html', 'https://www.healthcare6.com/physician/rogers-city-mi/michael-harkins-1679767.html', 'http://www.lifescript.com/doctor-directory/optometrist/alpena-michigan-mi-michael-kelly-harkins-od.aspx', 'https://www.doctorhelps.com/doctor/michael-harkins-fhacaehfccfhefhaccdedhdcfhe/', 'https://www.healthgrades.com/providers/michael-harkins-3d8nn?cc=STDPROV-4', 'https://www.ehealthscores.com/providers/izd-lttcllfsls/MICHAEL-HARKINS.html', 'http://www.mymedpro.org/Optometrist/Michael-Harkins-Harkins-Karsten/', 'https://www.topnpi.com/mi1336110212/dr-michael-harkins/mi-1']"
Gerald Skiba Ii,"['https://www.healthgrades.com/providers/gerald-skiba-ypltt', 'https://www.healthcare6.com/physician/alpena-mi/gerald-a-skiba-1060251.html', 'http://www.lifescript.com/Doctor-directory/optometrist/alpena-michigan-mi-gerald-arthur-skiba-ii-od.aspx', 'https://www.ehealthscores.com/providers/izd-lqwscwqfss/GERALD-SKIBA.html', 'http://eyedoctor.io/optometrist/dr-gerald-arthur-skiba-ii-od-alpena/', 'http://www.medicarelist.com/optometrist/dr-gerald-arthur-skiba-ii-od-alpena-mi/', 'http://www.mytime.com/deals/MI/Alpena/Medical-&-Dental/Eye-Exam/Skiba-Gerald-Dr-II-OD/mt-sAetJXcsxF5mfXlgjnUgng', 'https://amwell.com/cm/finder/doctor-detail/dr-gerald-skiba-od-alpena-michigan-3434468/', 'https://www.medicarelocations.com/mi/doctor/gerald-skiba-1982689022.html', 'http://www.getoptometrist.com/doctor/optometrist-152W00000X/dr-gerald-arthur-skibaii-1982689022/info']"
Steven G Garant,"['https://www.topnpi.com/mi1124212311/dr-steven-garant', 'http://www.lifescript.com/doctor-directory/optometrist/alpena-michigan-mi-steven-g-garant-od.aspx', 'https://www.doctorhelps.com/doctor/steven-garant-fhacfhaccfheacddfedfehdhd/', 'https://www.healthcare6.com/physician/alpena-mi/steven-g-garant-137165.html', 'http://eyedoctor.io/optometrist/steven-g-garant-od-alpena/', 'http://www.local.com/business/details/alpena-mi/steven-g-garant-optometrist-104974419/', 'http://www.medicarelist.com/optometrist/steven-g-garant-od-alpena-mi/', 'http://www.mytime.com/deals/MI/Alpena/Medical-&-Dental/Eye-Exam/Garant-Steven-G/mt-i_1l4IkgEZ7uCMxmP_dZbQ', 'https://www.ratemds.com/doctor-ratings/3039632/Dr-STEVEN%2BG.-GARANT-Alpena-MI.html', 'https://amwell.com/cm/finder/doctor-detail/steven-garant-od-alpena-michigan-999205/']"
Steven I Bennett,"['https://www.healthgrades.com/providers/steven-bennett-xqkkh', 'https://www.healthcare6.com/physician/ann-arbor-mi/steven-i-bennett-342380.html', 'https://www.topnpi.com/mi1316930670/dr-steven-bennett', 'https://www.healthcare4ppl.com/physician/michigan/ann-arbor/steven-i-bennett-1316930670.html', 'http://eyedoctor.io/optometrist/steven-i-bennett-od-ann-arbor/', 'https://www.doctorhelps.com/doctor/steven-bennett-fhacfhaccfhehdhdefaeef/', 'http://www.mlive.com/business/ann-arbor/index.ssf/2009/06/my_business_optometrist_steven.html', 'http://businessfinder.mlive.com/1260074/Bennett-Steven-I-OD-Ann-Arbor-MI', 'https://www.ehealthscores.com/providers/izd-ltlcqtfczf/STEVEN-BENNETT.html', 'https://npidb.org/doctors/eye_and_vision/optometrist_152w00000x/1316930670.aspx']"
