Lima City Schools,Ohio Northern University Faculty,https://www.onu.edu/files/2017_01_24_fm.pdf,"""Lima City Schools"" ESL intitle:faculty"
Central Elementary School,Faculty & Staff – Central Elementary,https://central.alpineschools.org/faculty-staff/,"""Central Elementary School"" ESL intitle:faculty"
Bethel Local Schools,"Faculty at Aau | Profiles, Jobs, Skills, Articles ...",https://www.linkedin.com/title/faculty-at-aau,"""Bethel Local Schools"" ESL intitle:faculty"
Horizon Charter School,"Adjunct Faculty Member in Sacramento | Profiles, Jobs ...",https://www.linkedin.com/title/adjunct-faculty-member/sacramento,"""Horizon Charter School"" ESL intitle:faculty"
Concord School District,St. Paul's School | Faculty Directory - sps.edu,https://www.sps.edu/page/about-sps/faculty-directory?letter=D,"""Concord School District"" ESL intitle:faculty"
Jefferson Elementary,Faculty & Staff – Jefferson Elementary School,https://www.eastpennsd.org/jefferson/faculty-staff/,"""Jefferson Elementary"" ESL intitle:faculty"
Needsville ISD,Needville High School - Faculty Directory,http://hs.needvilleisd.com/24655_2?offset=35,"""Needsville ISD"" ESL intitle:faculty"
Humble ISD,SPEAK SO THAT OTHERS CAN UNDERSTAND Washington State ...,http://slideplayer.com/slide/6305247/,"""Humble ISD"" ESL intitle:faculty"
Arlington ISD,Burgin Elementary School > Faculty and Staff,http://w2.aisd.net/aisd/burgin/faculty-and-staff,"""Arlington ISD"" ESL intitle:faculty"
Hawthorne BOE,Faculty Directory - Hawthorne Public Schools,http://www.hawthorne.k12.nj.us/site/Default.aspx?PageType=1&SiteID=9&ChannelID=58&DirectoryType=6,"""Hawthorne BOE"" ESL intitle:faculty"
The Village School,Graduate Faculty | Marlboro College,https://www.marlboro.edu/academics/graduate/faculty/clark_caleb,"""The Village School"" ESL intitle:faculty"
Saddleback Valley USD,ESL Faculty | Saddleback College,https://www.saddleback.edu/la/esl-faculty,"""Saddleback Valley USD"" ESL intitle:faculty"
Germantown School District,Faculty and Staff - Germantown Municipal School District,http://www.gmsdk12.org/OfficeandStaff.aspx,"""Germantown School District"" ESL intitle:faculty"
