AES Central Thermal San Nicolas Power Plant Argentina,Central Termica San Nicolas (AES Argentina),fe ka emission: Topics by Science.gov,https://www.science.gov/topicpages/f/fe+ka+emission.html
Anglesea Coal Power Plant Australia,Alcoa of Australia,Alcoa : Australia : Contact Us : Contact Us,http://www.alcoa.com/australia/en/contact.asp
Bayswater Coal Power Plant Australia,Macquarie Generation,Community | Macquarie Group,https://www.macquarie.com/us/about/community
Bluewaters Coal Power Station Australia,Griffin Energy,Griffin Energy - Contact,http://www.griffin-energy.com/contact.html
Callide B Coal Power Plant Australia,CS Energy,CS Energy: Contact Us,http://www.csenergy.com.au/content-(70)-contact_us.htm
Callide C Coal Power Plant Australia,CS Energy,CS Energy: Contact Us,http://www.csenergy.com.au/content-(70)-contact_us.htm
Collinsville Coal Power Plant Australia,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Energy Brix (Morwell) Coal Power Plant Australia,Energy Brix Australia,Contact ERA - Energy Resources of Australia,https://www.energyres.com.au/contact/
Eraring Coal Power Plant Australia,Energy Brix Australia,Contact ERA - Energy Resources of Australia,https://www.energyres.com.au/contact/
Gladstone Coal Power Plant Australia,NRG Gladstone,Contact Us – NRG Gladstone Operating Services,http://www.nrggos.com.au/contact/
Hazelwood Coal Power Plant Australia,NRG Gladstone,Contact Us – NRG Gladstone Operating Services,http://www.nrggos.com.au/contact/
Kogan Creek Coal Power Plant Australia,CS Energy,CS Energy: Contact Us,http://www.csenergy.com.au/content-(70)-contact_us.htm
Kwinana ABC Coal Power Plant Australia,Verve Energy,Vemma - Contact Us,https://www.vemma.com/our-story/contact-us.cfm
Liddell Coal Power Plant Australia,Macquarie Generation,Energy Finance & Leasing | Asset finance | Macquarie,https://www.macquarie.com/au/corporate/asset-finance/energy-leasing
Loy Yang A Coal Power Plant Australia,Loy Yang Power Management,"loy yang power management pty ltd Address, Contact Number ...",https://addresscustomerservicecenternumber.com/Companies/loy-yang-power-management-pty-ltd/
Loy Yang B Coal Power Plant Australia,Loy Yang Power Management,"loy yang power management pty ltd Address, Contact Number ...",https://addresscustomerservicecenternumber.com/Companies/loy-yang-power-management-pty-ltd/
Millmerran Coal Power Plant Australia,InterGen Australia,Contact | InterGen,http://www.intergen.com/contact
Muja Coal Power Plant Australia,Verve Energy,Vemma - Contact Us,https://www.vemma.com/our-story/contact-us.cfm
Munmorah Coal Power Station Australia (Shutdown),Delta Electricity,Contact Us - Delta Electricity,http://www.de.com.au/contact-us
Northern Coal Power Plant Australia,Delta Electricity,Contact Us - Delta Electricity,http://www.de.com.au/contact-us
Stanwell Coal Power Plant Australia,Stanwell Corporation,Contact us - Stanwell,http://www.stanwell.com/contact-us/
Swanbank B Coal Power Plant Australia,CS Energy,CS Energy: Contact Us,http://www.csenergy.com.au/content-(70)-contact_us.htm
Tarong Coal Power Plant Australia,Stanwell Corporation,Contact us - Stanwell,http://www.stanwell.com/contact-us/
Tarong North Coal Power Plant Australia,Stanwell Corporation,Contact us - Stanwell,http://www.stanwell.com/contact-us/
Thomas Playford B Coal Power Plant Australia,Flinders Power,Contact Us – Flinders Power,http://flinderspower.com.au/contact-us/
Vales Point B Coal Power Plant Australia,Delta Electricity,Contact Us - Delta Electricity,http://www.de.com.au/contact-us
Worsley Coal Cogen Power Plant Australia,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Worsley Multi-Fuel Cogen Power Plant Australia,Griffin Energy,Griffin Energy - Contact,http://www.griffin-energy.com/contact.html
Yallourn West Coal Power Plant Australia,EnergyAustralia (name change from TRUenergy),Contact us | EnergyAustralia,https://www.energyaustralia.com.au/home/help-and-support/contact-us
