PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Miravalles V Geothermal Power Plant Costa Rica,Ormat Industries,Ormat Technologies Inc. - Contact,http://www.ormat.com/en/company/contact/main/
Pailas Geothermal Power Plant Costa Rica,Instituto Costarricense de Electricidad (ICE),ICE picks Telia Carrier for backbone services,http://www.capacitymedia.com/Article/3782180/Talking-Trends/ICE-picks-Telia-Carrier-for-backbone-services
Hellisheidi Geothermal Power Plant Iceland,Orkuveita Reykjavíkur,"Orkuveita Reykjavikur : Quotes, Address, Contact",https://www.azocleantech.com/suppliers.aspx?SupplierID=418
Krafla Geothermal Power Station Iceland,Landsvirkjun,Contact us - The National Power Company of Iceland,https://www.landsvirkjun.com/company/mediacentre/contactus
Nesjavellir Geothermal CHP Power Plant Iceland,Orkuveita Reykjavikur,"Orkuveita Reykjavikur : Quotes, Address, Contact",https://www.azocleantech.com/suppliers.aspx?SupplierID=418
Reykjanes Geothermal CHP Power Station Iceland,HS Orka,www.unglobalcompact.org,https://www.unglobalcompact.org/system/commitment_letters/130211/original/HS_Orka.pdf?1516636323
Svartsengi Geothermal CHP Power Station Iceland,HS Orka,www.unglobalcompact.org,https://www.unglobalcompact.org/system/commitment_letters/130211/original/HS_Orka.pdf?1516636323
Larderello Geothermal Power Station Italy,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Hachijojima Geothermal Power Plant Japan,"Tohoku Electric Power Co., Inc.",Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Hatchobaru Geothermal PP,Kyushu Electric Power Company,Development of a high-speed overhead contact line ...,https://www.witpress.com/Secure/elibrary/papers/CR10/CR10016FU1.pdf
Kakkonda Geothermal Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Kirishima Kokusai Hotel Geothermal PP,Kirishima Kokusai Hotel,Contact UOB Travel at 6252 6822 Book Now! Visit www ...,http://www2.uobgroup.com/uobtravel/assets/pdfs/free_easy_guided/japan/8d7n_landscape_kagoshima.pdf
Matsukawa Geothermal Power Plant Japan,"Tohoku Electric Power Co., Inc.",Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Mori Geothermal Power Plant Japan,"Hokkaido Electric Power Co., Inc.",CONTACT LOCATION - Procurement of Materials ... - hepco.co.jp,http://www.hepco.co.jp/english/procurement/contact.html
Ogiri (Daiquiri) Geothermal Power Plant Japan,Kyushu Electric Power Company,Development of a high-speed overhead contact line ...,https://www.witpress.com/Secure/elibrary/papers/CR10/CR10016FU1.pdf
Onikobe Geothermal Power Plant Japan,J-Power,Contact Us | JP,http://www.jpowerusa.com/contact-us/
Onuma Geothermal Power Plant Japan,Mitsubishi Materials Corporation,Contact Us | Mitsubishi Materials Corporation,https://www.mmc.co.jp/corporate/en/contact/
Suginoi Geothermal Power Plant Japan,Suginoi Hotel,Contact Information - Orix,http://www.orix.co.jp/grp/en/pdf/news/120405_RealE.pdf
Sumikawa Geothermal Power Plant Japan,Tohoku Electric Power Company,Contact us | Tohoku Electric Power Website,https://www.tohoku-epco.co.jp/cgi-bin/00002020e/inquiry/toiawase.cgi?about=e-contact-us
Takigami Geothermal Power Plant Japan,"Kyushu Electric Power Co., Inc.",electrode to contact to an electrolyte on one side and to,http://electrochem.org/dl/ma/206/pdfs/0129.pdf
