PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Embalse Nuclear Power Plant Argentina,Nucleoelectrica Argentina SA,argentina uranio mineral molino - lapenera.com,http://www.lapenera.com/ES/argentina_uranio_mineral_molino/
Angra Nuclear Power Plant Brazil,Eletrobras Eletronuclear S.A.  - ELETRONUCLEAR,Brazil's Eletronuclear close to defining Angra 3 business ...,https://www.bnamericas.com/en/news/electricpower/brazils-eletronuclear-close-to-define-angra-3-business-model
Bruce Nuclear Power Plant Canada,Bruce Power,Contact Us - Bruce Power,http://www.brucepower.com/about-us/contact-us/
Darlington Nuclaer Power Plant Canada,Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Gentilly Nuclear Power Plant Canada,Hydro Quebec,Contact us | Hydro-Québec,http://www.hydroquebec.com/contact-us/
Pickering A Nuclear Power Plant Canada,Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Pickering B Nuclear Power Plant Canada,Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Point Lepreau Nuclear Power Plant Canada,New Brunswick Power,Contact Us - NB Power - Language Preference Screen,https://www.nbpower.com/en/contact-us
Changjiang Nuclear Power Plant China,Hainan nuclear power company,China Shows How to Build Nuclear Reactors Fast and Cheap,https://www.forbes.com/sites/jamesconca/2015/10/22/china-shows-how-to-build-nuclear-reactors-fast-and-cheap/#9ee44425484c
China Experimental Fast Reactor (CEFR),China Institute of Atomic Energy,CEDI CHINA GENERAL INFORMATION NAME OF THE FACILITY ...,https://nucleus.iaea.org/sites/lmfns/Facility%20Country%20Profiles1/Profile%20SFR-01%20China%20-%20CEDI.pdf
Fangchenggang Nuclear Power Plant China,Guangxi Fangchenggang Nuclear Power Group,climate change phytoplankton: Topics by Science.gov,http://www.science.gov/topicpages/c/climate+change+phytoplankton.html
Fangjiashan Nuclear Power Plant China,QINSHAN NUCLEAR POWER COMPANY,biron mill power plant contact info coal nuclear,http://www.advisorpublications.co.in/stone/7879/biron-mill-power-plant-contact-info-coal-nuclear.html
Guangdong (Daya Bay) Nuclear Power Plant China,China Guangdong Nuclear Power Corporation (CGNPC),China Guangdong Nuclear Power Holding Corporation (CGNPC),http://cgnpc.chinaexporter.com/contact/
Tianwan (Jiangsu) Nuclear Power Station China,Jiangsu Nuclear Power Corporation,Contact VCollab,http://www.vcollab.com/Company-Info/Company-Profile/CompMech.aspx
Yangjiang Nuclear Power Station China,Yangjiang Nuclear Power Co. Ltd,Shandong Dongstar Group - formwork.com.cn,http://formwork.com.cn/dongstar.asp
Temelin Nuclear Power Plant Czech Republic,Czech Power Company (CEZ),CEZ Group | Contact Points,https://www.cez.cz/en/contacts/contact-points.html
Olkiluoto (TVO) Nuclear Power Plant Finland,Teollisuuden Voima Oy (TVO),TVO | Contact information,http://www.huomisentekijat.fi/Contact-information
Belleville Nuclear Power Plant France,Electricite de France (EdF),EDF Électricité et Gaz: Avis et Contact - Hello Watt,https://www.hellowatt.fr/fournisseurs/edf/
