PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Brunswick Solar PV Farm Australia,Citipower.,CitiPower and Powercor - Contact us,https://www.powercor.com.au/contact-us/
Bulman Solar PV Farm Australia,Power and Water Corporation,Contact us - Power and Water Corporation,https://www.powerwater.com.au/customers/contact_us
Caboolture Solar PV Farm Australia,Stanwell Corporation,Contact us - Stanwell,http://www.stanwell.com/contact-us/
Carnarvon Solar PV Farm Australia,Alexander Fullarton,"Contact Clair Fullarton, The Daily Record - PressRush",https://www.pressrush.com/author/2627548/clair-fullarton
Dubbo Solar PV Farm Australia,Country Energy,Essential Energy - Contact Us,https://www.essentialenergy.com.au/content/contact-us
Greenough River Solar PV Power Plant Australia,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Hermannsburg Solar PV Farm Australia,Solar Systems,Contact - SUNation Solar Systems,https://www.sunationsolarsystems.com/contact/
Kalbarri Solar PV Farm Australia,Verve Energy,Vemma - Contact Us,https://www.vemma.com/our-story/contact-us.cfm
Kings Canyon Solar PV Farm Australia,Northern Territory Power and Water Corporation (PAWA),Contact us - Power and Water Corporation,https://www.powerwater.com.au/customers/contact_us
Lajamanu Solar PV Farm Australia,Solar Systems,Contact - SUNation Solar Systems,https://www.sunationsolarsystems.com/contact/
Noranda Solar PV Farm Australia,Verve Energy,Vemma - Contact Us,https://www.vemma.com/our-story/contact-us.cfm
Queen Victoria Market Solar PV Farm Australia,Melbourne City Council,Contact us - City of Melbourne,http://www.melbourne.vic.gov.au/Pages/contact-us.aspx
Singleton Solar PV Farm Australia,Energy Australia,Contact us | EnergyAustralia,https://www.energyaustralia.com.au/home/help-and-support/contact-us
Sydney Superdome Solar PV Farm Australia,Energy Australia,Contact us | EnergyAustralia,https://www.energyaustralia.com.au/home/help-and-support/contact-us
Tewantin Solar PV Farm Australia,Australian Postal Corporation,Australia Post - Official Site,https://auspost.com.au/
Wilpena Pound Solar PV Farm Australia,AGL,Contact Us | AGL,https://www.agl.com.au/residential/contact-us
Yuendumu Solar PV Farm Australia,Solar Systems,Contact - SUNation Solar Systems,https://www.sunationsolarsystems.com/contact/
Sarnia Solar PV Farm Canada,First Solar Inc,Contact Us | First Solar,http://www.firstsolar.com/en/About-Us/Contact
Sarnia Solar Farm Ontario Canada,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Charanka Solar Park Gujarat India,17 projects (See comment 1),National Organic Standards Board (NOSB) Compliance ...,https://www.ams.usda.gov/sites/default/files/media/CACSNotes2017JanAug.pdf
Chintapally Saibaba Solar PV Farm India,Chintapally Saibaba Energy Pvt Ltd,GENRET ENERGY SOLUTIONS PRIVATE LIMITED - Company ...,https://www.zaubacorp.com/company/GENRET-ENERGY-SOLUTIONS-PRIVATE-LIMITED/U40108AP2010PTC071508
Kamuthi Solar PV Power Plant India,Adani Power,Contact us - Adani Power,http://www.adanipower.com/contact-us
Mindanao Solar PV Farm Philippines,CEPALCO,CEPALCO care contact panipat20 - allcustomercarenumbers.net,https://allcustomercarenumbers.net/CustomerCareDetail.aspx?Ti=CEPALCO&id=43007&url=2
Kalkbult Solar Power Plant South Africa,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Fuente Alamo PV Power Plant Spain,Fotowatio Renewable Ventures,Contact Us : FRV,http://frv.com/en/contact/
Agua Caliente Solar Farm Arizona USA,NRG Solar,Contact Information | NRG Energy,http://www.nrg.com/contact-us/
Alpaugh Solar PV Power Plant CA USA,Consolidated Edison Development,Contact Us | Con Edison,https://www.coned.com/en/contact-us/
Avenal Solar PV Power Plant CA USA,Eurus Energy,Contact | Eurus Energy America,https://eurusenergy.com/contact/
Avra Valley Solar PV Farm USA,NRG Energy,Contact Information | NRG Energy,http://www.nrg.com/contact-us/
Copper Mountain 2 Solar PV Power Plant Nevada USA,Sempra U.S. Gas & Power,Contact - Sempra Renewables,http://www.semprarenewables.com/contact/
Corcoran I Solar PV Power Plant CA USA,Sempra U.S. Gas & Power,Contact - Sempra Renewables,http://www.semprarenewables.com/contact/
DeSoto Next Generation Solar Energy Center USA,Florida Power and Light Company,Florida Power & Light Electric Services - FPL,https://www.fpl.com/support/contact.html
Desert Sunlight Solar PV Farm California USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
El Dorado and Copper Mountain Solar PV Power Plant Nevada USA,Sempra Generation,Contact - Sempra Renewables,http://www.semprarenewables.com/contact/
Mesquite Solar 1 PV Power Plant Arizona USA,Sempra U.S. Gas & Power,Contact - Sempra Renewables,http://www.semprarenewables.com/contact/
Prescott Airport Solar Farm AZ USA,Pinnacle West Capital Corp,Pinnacle West Capital Corp. - Footer - Contact Us,http://www.pinnaclewest.com/footer/contact-us/default.aspx
Solar Solar Farm CA USA,,"SOCCER.COM | Soccer Cleats and Shoes, Soccer Jerseys ...",https://www.soccer.com/
Space Coast Next Generation Solar Energy Center USA,Florida Power and Light Company,Florida Power & Light Electric Services - FPL,https://www.fpl.com/support/contact.html
Topaz Solar PV Farm California USA,First Solar,Contact Us | First Solar,http://www.firstsolar.com/en/About-Us/Contact
White River 1 Solar PV Power Plant CA USA,Consolidated Edison Development,Contact Us | Con Edison,https://www.coned.com/en/contact-us/
