
Title,ID,ru,sp,du
﻿Title,Id,Название,Título,Titel
"""ent"" (as in cli-ent)",_went,«ent» (как cli ЛОР),"""ent"" (como en cli-ent)","""ent"" (zoals in de cli-ent)"
“u” - consonant - “e”,_suce,«u» - согласные - «e»,"""u"" - consonante - ""e""","'v' - consonant - ""e"""
"""vce"" words.",_svw,слова «vce».,"palabras ""vce"".","""vce"" woorden."
"""a""",a,«»,"""a""","""a"""
"a (long a), which is also called a faded schwa",_wfs,"(длинный), которая также называется потертые шва","una (larga una), que también se llama un schwa se desvaneció","een (lange een), die wordt ook wel genoemd een vervaagde sjwa"
a (long),_sa1,(длинный),(largo),een (lang)
a (short),_sa,(короткие),un (corto),een (korte)
A closed syllable is one in which a vowel is followed by one or more consonants.,_sacsio,Закрытый слог является одной гласной в которой следуют одной и более согласными.,Una sílaba cerrada es uno en el que una vocal es seguida por una o más consonantes.,Een gesloten lettergreep is een waarin een klinker wordt gevolgd door een of meerdere medeklinkers.
"A one syllable word that ends in a vowel is an open syllable, for example:  me  = m",_saone1,"Один слог слово оканчивается на гласную является открытого слога, например: мне = м","Una palabra de una sílaba que termina en una vocal es una sílaba abierta, por ejemplo: me = m","Een één lettergreep woord dat op een klinker eindigt is een open lettergreep, bijvoorbeeld: mij = m"
A syllable always contains a vowel and can be said in one breath.,_sasaca,"Слог всегда содержит гласных и можно сказать, на одном дыхании.",Siempre una sílaba contiene una vocal y puede decirse en una respiración.,Een lettergreep altijd bevat een klinker en in één adem kan worden gezegd.
"A syllable is a word, or part of a word.",_sasiaw,Слог — это слово или часть слова.,Una sílaba es una palabra o parte de una palabra.,Een lettergreep is een woord of een deel van een woord.
"A syllable that contains a vowel, a consonant and a siltne ""e"" is called a vce syllable.",_sastca,"Слог, содержащий гласных, согласных и siltne «e» называется vce слог.","Una sílaba que contiene una vocal, una consonante y una siltne ""e"" se llama una sílaba de vce.","Een lettergreep met een klinker, een medeklinker en een siltne ""e"" heet een vce lettergreep."
A syllable with a vowel at the end of it is called an open syllable.,_saswav,Слог с гласных на конце его называют открытого слога.,Una sílaba con una vocal al final de ella se llama una sílaba abierta.,Een lettergreep met een klinker aan het einde van het heet een open lettergreep.
a vowel,_sav,гласная,una vocal,een klinker
A word must always have a vowel sound.  ,_sawmah,Слово всегда должна иметь гласный звук.  ,Una palabra siempre debe tener un sonido de vocal.  ,Een woord moet altijd een klinkergeluid.  
"A word represented by the letters ""cvc"" is made up with (a consonant , a vowel, and a consonant).",_sawwtl,"Слово, представленный буквами «cvc» состоит с (согласные, гласной и согласной).","Una palabra representada por las letras ""cvc"" se compone con (una consonante, una vocal y una consonante).","Een woord vertegenwoordigd door de letters ""cvc"" is samengesteld met (een medeklinker, een klinker en een medeklinker)."
"A, e, i, o, and u.",_saeiou,"A, e, i, o и вы.","A, e, i, o y te.","A, e, i, o en u."
able (the letters),_lable,состоянии (письма),poder (las letras),staat (de letters)
about final blends.,_safb,об окончательном смеси.,sobre la mezcla final.,over de definitieve blends.
about initial blends.,_saib,о первоначальных смеси.,sobre mezclas iniciales.,over eerste mengsels.
about the doubling rule.,_satdr,о удвоения правило.,sobre la regla de la duplicación.,over de verdubbeling regel.
about word blends.,_sitlywl,о слово смеси.,sobre mezclas de palabra.,over word mengsels.
active,active,Активные,activo,actieve
"Add a vowel (a,e,i,o or u) to make a word.",_saavtm,"Добавление гласных (a, e, i, o или u) сделать слово.","Añadir una vocal (a, e, i, o o u) para formar una palabra.","Voeg een klinker (a, e, i, o of u) zodat een woord."
"After you type your choice, I will give you the correct choice for spelling.",_saytyc,"После ввода вашего выбора, я дам вам правильный выбор для проверки орфографии.","Después de escribir su elección, le daré la opción correcta para la ortografía.","Nadat u uw keuze hebt getypt, zal ik u de juiste keuze voor spelling."
AFTMID2,AFTMID2,AFTMID2,AFTMID2,AFTMID2
"Again, separate the words into syllables, read one syllable at a time, and then blend into a whole word.",_sasitw,"Опять же отдельные слова на слоги, читать один слог, в то время и затем сливаются слово целиком.","Otra vez, separar las palabras en sílabas, leer una sílaba a la vez y luego se mezclan en una palabra todo.","Nogmaals, de woorden in lettergrepen verdeelt, één lettergreep tegelijk lezen en dan overvloeien in een heel woord."
ai (the letters),_lai,Ай (письма),AI (las letras),AI (de letters)
ai (the sounds),_sai,Ай (звуки),AI (los sonidos),AI (de klanken)
air,air,воздуха,aire,lucht
ald (the letters),_lald,ALD (письма),ALD (las letras),ALD (de letters)
alk (the letters),_lalk,ALK (письма),ALK (las letras),Alk (de letters)
all (the letters),_lall,все (буквы),(las letras),alle (letters)
all of the long vowel sounds which are closed syllable exceptions,_saotlvs,"все длинные гласные звуки, которые являются исключения закрытый слог",todo de la vocal larga suena que son excepciones de sílaba cerrada,alle de lange klinker klinkt die zijn gesloten lettergreep uitzonderingen
All of these words should be memorized.,_saatws,Все эти слова должны быть сохранены в памяти.,Todas estas palabras se deben memorizar.,Al deze woorden moeten worden gememoriseerd.
All syllables must have a vowel.,_sasmha,Все слоги должны иметь гласной.,Todas las sílabas deben tener una vocal.,Alle lettergrepen moet een klinker.
all the digraphs you have learned so far.,_satdyh,"все диграфы, которые вы узнали до настоящего времени.",todos los dígrafos que has aprendido hasta ahora.,alle digraphs die je tot nu toe hebt geleerd.
All the syllables in these words will be closed; therefore the vowels will be short.,_sallth,Будут закрыты все слоги в эти слова; Таким образом гласные будет коротким.,"Se cerrarán todas las sílabas de estas palabras; por lo tanto, las vocales serán cortas.",Alle van de lettergrepen in deze woorden zullen worden gesloten; Daarom is de klinkers kort zal zijn.
all the vowel teams you have learned so far.,_satvty,"все команды гласных, которые вы узнали до настоящего времени.",todos los equipos de vocal que has aprendido hasta ahora.,alle klinker teams die je tot nu toe hebt geleerd.
all the vowel teams you worked with in the previous lessons.,_satvty1,все команды гласный вы работали с на предыдущих занятиях.,todos los equipos de vocal que trabajado en las lecciones anteriores.,alle teams van de klinker u gewerkt met in de vorige lessen.
All three make the same sound.,_satmtss,Все три сделать тот же звук.,Los tres hacen el mismo sonido.,Alle drie maken hetzelfde geluid.
alm (the letters),_lalm,ALM (письма),ALM (las letras),Alm (de letters)
Almost all of the words you have practiced so far have been one syllable.,_salmos,"Почти все слова, которые вы практиковали до настоящего времени были один слог.",Casi todas las palabras que ha practicado hasta ahora han sido una sílaba.,Bijna alle van de woorden die je tot nu toe hebben geoefend zijn één lettergreep.
"Also, in the word full, the short ""u"" sound is affected by the ""l"".",_saitwf,"Кроме того в слове полный, звук короткий «u» зависит от «l».","También, en la palabra completa, el sonido del corto ""u"" es afectado por la ""l"".","Ook in het volledige woord, wordt het geluid van de korte ""u"" beïnvloed door de ""l""."
"Also, remember that some vowel teams can make more than one sound.",_sarttv,"Кроме того Помните, что некоторые группы гласных можно сделать более чем один звук.","Además, recuerde que algunos equipos de vocal pueden hacer más de un sonido.","Ook, houd er rekening mee dat sommige teams klinker kunnen meer dan één geluid."
alt (the letters),_lalt,клавиши Alt (письма),Alt (las letras),Alt (de letters)
Always blend the word syllable by syllable.,_salway,"Всегда смесь слово слог, слог.",Siempre mezcla la palabra sílaba por sílaba.,Altijd mengen het woord lettergreep door lettergreep.
"An ""s"" is added to the end of the word to make it plural.",_sasiat,"«s» добавляется в конец слова, чтобы сделать его во множественном числе.","Se agrega una ""s"" al final de la palabra para hacerla plural.","Een ""s"" wordt toegevoegd aan het einde van het woord meervoud maken."
"An example is the word ""patch"", which has a short ""a"".",_saeitw,"Примером является слово «патч», который имеет короткий «».","Un ejemplo es la palabra ""parche"", que tiene un corto ""a"".","Een voorbeeld is het woord ""patch"", die een korte heeft ""a""."
"An open syllable ends with a vowel, and that vowel is long.",_sanope,"Открытый слог заканчивается с гласной, и что гласный длинный.","Una sílaba abierta termina con una vocal, y vocal es larga.","Een open lettergreep eindigt op een klinker, en die klinker is lang."
and,_wand,и,y,en
"and ""p"" ...(are consonants.) (the letters ""t"")...",_sap,и «p»... (это согласных). (буквы «t»)...,"y ""p""... (son consonantes). (las letras ""t"")...","en ""p""... (medeklinkers zijn.) (de letters ""t"")..."
and a consonant.,_saac,и согласной.,y una consonante.,en een medeklinker.
And say the letter sound...,_sastls,И сказать письмо звук...,Y decir el sonido de la letra...,En het geluid van de brief te zeggen...
