Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_went,"""ent"" (as in cli-ent)","""в"" (как в CLI-интерфейсе)","""ent"" (wie in CLI-ent)","""ENT"" (como en CLI-ENT)","""ent"" (comme dans CLI-ENT)","""نت"" (كما في المبادرة الخاصة)","""耳鼻喉"" (如在 cli 中)","""KBB"" (CLI-ENT gibi)","""ENT"" (como em CLI-ENT)",,,
_suce,“u” - consonant - “e”,"""u""-согласные-""e""","""u""-Konsonanten-""e""","""u""-consonante-""e""","""u""-consonne-""e""","""u""-ساكن-""e""","""u""-辅音-""e""","""u""-ünsüz-""e""","""u""-consoante-""e""",,,
_wfs,"a (long a), which is also called a faded schwa","a (длинный a), который также называется потерянным счва","a (Long a), die auch als verblasst Schwa","a (largo a), que también se llama un Schwa desteñido","a (long a), qui est aussi appelé un schwa fanée",ا (طويل ا) ، والذي يسمي أيضا الشروه تلاشي,"a (长 a), 也被称为褪色的母音","a (uzun a), hangi olarak da adlandırılan bir soluk Schwa","a (Long a), que também é chamado de um schwa desbotado",,,
_sa,a (sound short),a (звучит коротко),a (Ton kurz),a (sonido corto),a (son court),(الصوت القصير),a (声音短),a (kısa ses),a (som curto),,,
_sacsio,A closed syllable is one in which a vowel is followed by one or more consonants.,"Закрытый слог — это один из них, в котором за гласными следуют один или несколько согласных.","Eine geschlossene Silbe ist ein, in dem ein Vokal von einem oder mehreren Konsonanten gefolgt wird.",Una sílaba cerrada es una en la que una vocal es seguida por una o más consonantes.,Une syllabe fermée est celle dans laquelle une voyelle est suivie d'une ou plusieurs consonnes.,المقطع اللفظي المغلق هو الذي يتبع فيه حرف العلة واحد أو أكثر من الأحرف الساكنة.,一个封闭的音节是一个元音跟着一个或多个辅音。,Kapalı hece bir sesli harf bir veya daha fazla ünsüz tarafından izlenen biridir.,Uma sílaba fechada é aquela em que uma vogal é seguida por uma ou mais consoantes.,,,
_saone1,"A one syllable word that ends in a vowel is An open syllable, for example: ""me"" = m","Одно слоговое слово, заканчивающееся на гласной, является открытым слогом, например: ""Me"" = m","Eine Silbe Wort, die mit einem Vokal endet, ist ""eine"" offene Silbe, zum Beispiel: ""Me"" = m","Una palabra de una sílaba que termina en una vocal es ""una"" sílaba abierta, por ejemplo: ""yo"" = m","Un mot d'une syllabe qui se termine par une voyelle est ""une"" syllabe ouverte, par exemple: ""me"" = m","كلمه واحده المقطع الذي ينتهي في حرف العلة هو مقطع مفتوح ، علي سبيل المثال: ""me"" = m","以元音结尾的一个音节词是一个开放的音节, 例如: ""我"" = m","Sesli harflerle biten bir hece kelimesi açık hecedir, örneğin: ""Me"" = m","Uma palavra de uma sílaba que termina em uma vogal é uma sílaba aberta, por exemplo: ""me"" = m",,,
_sasaca,A syllable always contains a vowel and can be said in one breath.,"Слог всегда содержит гласную и может ""быть"" в одном дыхании.","Eine Silbe enthält immer einen Vokal und kann ""be"" in einem Atemzug gesagt werden.","Una sílaba contiene siempre una vocal y puede ""ser"" dicho en un soplo.",Une syllabe contient toujours une voyelle et peut «être» dit dans un souffle.,"مقطع لفظي دائما يحتوي علي حرف العلة ويمكن ان ""يكون"" وقال في نفس واحد.","音节总包含元音并且能 ""是"" 说在一次呼吸。","Bir hece her zaman bir sesli harf içerir ve ""olabilir"" tek bir nefes dedi.","Uma sílaba sempre contém uma vogal e pode ""ser"" disse em uma respiração.",,,
_sasiaw,"A syllable is a word, or part of a word.",Слог-это слово или часть слова.,Eine Silbe ist ein Wort oder ein Teil eines Wortes.,"Una sílaba es una palabra, o parte de una palabra.","Une syllabe est un mot, ou une partie d'un mot.",مقطع لفظي هو كلمه ، أو جزء من كلمه واحده.,音节是单词或单词的一部分。,Hece kelime ya da kelimenin bir parçasıdır.,"Uma sílaba é uma palavra, ou parte de uma palavra.",,,
_sastca,"A syllable that contains a vowel, a consonant and a ""silent-e"" is called a ""vce"" syllable.","Слог, содержащий гласный, согласный и ""силтне"" ""e"" называется ""ВЦЕ"" слогом.","Eine Silbe, die einen Vokal, einen Konsonanten und einen ""siltne"" ""e"" enthält, nennt man ""VCE"" Silbe.","Una sílaba que contiene una vocal, una consonante y una ""siltne"" ""e"" se denomina sílaba ""VCE"".","Une syllabe qui contient une voyelle, une consonne et un ""siltne"" ""e"" est appelé une syllabe ""VCE"".","المقطع اللفظي الذي يحتوي علي حرف العلة ، وهو ساكن و ""الحرير"" ""e"" يسمي مقطع ""العنف اللفظي"".","包含元音、辅音和 ""siltne"" ""e"" 的音节称为 ""vce"" 音节。","Sesli harf, ünsüz ve ""siltne"" ""e"" harfi içeren bir hece ""VCE"" hecesi olarak adlandırılır.","Uma sílaba que contém uma vogal, uma consoante e um ""siltne"" ""e"" é chamado de ""VCE"" sílaba.",,,
_saswav,A syllable with a vowel at the end of it is called An open syllable.,Слог с гласным в конце его называют открытым слогом.,"Eine Silbe mit einem Vokal am Ende wird als ""eine"" geöffnete Silbe bezeichnet.","Una sílaba con una vocal en el extremo de ella se llama ""una"" sílaba abierta.","Une syllabe avec une voyelle à la fin de celui-ci est appelée ""une"" syllabe ouverte.",ويسمي مقطع لفظي مع حرف العلة في نهاية ذلك مقطع مفتوح.,一个音节与元音在它的末端叫一个开放音节。,Sonunda bir sesli harfe sahip bir hece açık hece olarak adlandırılır.,Uma sílaba com vogal no final é chamada de sílaba aberta.,,,
