Wave1,Corrections,ru,de,es,fr
_went,"""ent"" (as in cli-ent)",,,,
_suce,“u” - consonant - “e”,,,,
_wfs,"a (long a), which is also called a faded schwa",,,,
_sa,a (sound short),,,,
_sacsio,A closed syllable is one in which a vowel is followed by one or more consonants.,,,,
_saone1,"A one syllable word that ends in a vowel is ""an"" open syllable, for example: ""me"" = m",,,,
_sasaca,"A syllable always contains a vowel and can ""be"" said in one breath.",,,,
_sasiaw,"A syllable is a word, or part of a word.",,,,
_sastca,"A syllable that contains a vowel, a consonant and a ""siltne"" ""e"" is called a ""vce"" syllable.",,,,
_saswav,"A syllable with a vowel at the end of it is called ""an"" open syllable.",,,,
_sawmah,A word must always have a vowel sound.,,,,
_sawwtl,"A word represented by the letters ""cvc"" is made ""up"" with (a consonant , ""avowel"", and a consonant).",,,,
_saeiou,"""A"", ""e"", ""i"", ""o"", and ""u"".",,,,
_lable,able (the letters),,,,
_safb,about final blends.,,,,
_saib,about initial blends.,,,,
_satdr,about the doubling rule.,,,,
_sitlywl,about word blends.,,,,
_saavtm,"Add a vowel (a,""e"",""i"",""o"" or ""u"") to make a word.",,,,
_saytyc,"After you type your choice, I will give you the correct choice for spelling.",,,,
_sasitw,"Again, separate the words into syllables, read one syllable at a time, and then blend into a whole word.",,,,
_lai,"""ai"" (the letters)",,,,
_sai,"""ai"" (the sounds)",,,,
_lald,"""ald"" (the letters)",,,,
_lalk,"""alk"" (the letters)",,,,
_lall,all (the letters),,,,
_saotlvs,all of the long vowel sounds which are closed syllable exceptions,,,,
_saatws,"All of these words should ""be"" memorized.",,,,
_sasmha,All syllables must have a vowel.,,,,
_satdyh,"all the digraphs you have learned ""so"" far.",,,,
_sallth,"All the syllables in these words will ""be"" closed; therefore the vowels will be short.",,,,
_satvty,"all the vowel teams you have learned ""so"" far.",,,,
_satvty1,all the vowel teams you worked with in the previous lessons.,,,,
_satmtss,All three make the same sound.,,,,
_lalm,"""alm"" (the letters)",,,,
_salmos,"Almost all of the words you have practiced ""so"" far have been one syllable.",,,,
_saitwf,"Also, in the word full, the short ""u"" sound is affected by the ""l"".",,,,
_sarttv,"Also, remember that some vowel teams can make more than one sound.",,,,
_lalt,alt (the letters),,,,
_salway,Always blend the word syllable by syllable.,,,,
_sasiat,"""An"" ""s"" is added to the end of the word to make it plural.",,,,
_saeitw,"""An"" example is the word ""patch"", which has a short ""a"".",,,,
_sanope,"""An"" open syllable ends with a vowel, and that vowel is long.",,,,
_sap,"and ""p"" ...(are consonants.) (the letters ""t"")...",,,,
_saac,and a consonant.,,,,
_sastls,And say the letter sound...,,,,
_sastls1,And say the letters sound...,,,,
_satbod,"and the blend or digraph (""Hint3"").",,,,
_satc,"and the consonant (""Hint3"").",,,,
_satv,"and the vowel (""Hint3"")",,,,
_savwtl,"and vowels with the letter ""v"". (""We"" will represent consonants with the letter ""c"")",,,,
_wand1,"and...(""Hint3"") (used in Syllables, Break ""3"")",,,,
_lang,"""ang"" (the letters)",,,,
_sang,"""ang"" (the sounds)",,,,
_lank,"""ank"" (the letters)",,,,
_sank,"""ank"" (the sounds)",,,,
_sadiwt,another digraph in which the consonants do have separate sounds.,,,,
_saetvt,another exception to vowel team rules.,,,,
_saniyt,"Answer ""no"" if you think the doubling rule does not apply to the word.",,,,
_sayiyt,Answer yes if you think the doubling rule applies to the word.,,,,
_sacrcs,"are called ""r""-controlled syllables (Syllables that contain the letters...(""ar""/""er""/""ir"", ""etc"") ...",,,,
_sac,"are consonants. (the letters ""t"" and ""p"")",,,,
_saydwt,Are you finished with these words?,,,,
_larr,"""arr"" (the letters)",,,,
_saavty,"As a vowel team, you know that letters ""“ie”"" make long vowel sounds.",,,,
_saensw,"As each new sight word is introduced, the computer will record it in your electronic sight word notebook.",,,,
_saitw,as in the word...,,,,
_sayhpo,"As you have practiced, “ow” also makes the sound of long “o”.",,,,
_sasyou,"As you may have guessed by now, all the syllable types seem to have ""an"" exception or two.",,,,
_saloli,At least one letter in that word is silent.,,,,
_lau,"""au"" (the letters)",,,,
_sau,"""au"" (the sounds)",,,,
_laugh,augh (the letters),,,,
_saugh,"""augh1"" (the sounds)",,,,
_saugh2,"""augh2"" (as in LAUGH)",,,,
_law,"""aw"" (the letters)",,,,
_saw,"""aw"" (the sounds)",,,,
_lay,"""ay"" (the letters)",,,,
_say,"""ay"" (the sounds)",,,,
_sasmt8,bass (pause) bass,,,,
_sbstst1,"""Be"" sure to say the sound of each letter and blend them together.",,,,
_sbtfsc,"Because the first syllable, “cli”, is open, the letter ""“i”"" makes the long ""“i”sound"".",,,,
_sblend,Blend the sounds in each syllable.,,,,
_sbiimo,but it is most often at the end.,,,,
_sbtacta,But they are crunched together and the sounds are hard to separate.,,,,
_sbwicw,"But, when it ""combibines"" with a vowel to form a single sound, it is called a ""semi-vowel"".",,,,
_sc,"""c"" (hard- the sound)",,,,
_scs,"""c"" (soft - the sound)",,,,
_lch,"""ch"" (the letters)",,,,
_sch,"""ch"" (the sounds)",,,,
_schoos,"Choose a word from Column ""B"" to tack onto a word in Column A to form new compound word.",,,,
_sctccs,"Choose the correct consonant -""le"" syllable to tack onto.",,,,
_sctcwt,Choose the correct word to put in the blank.,,,,
_lck,"""ck"" (the letters)",,,,
_sck,"""ck"" (the sounds)",,,,
_sclait,"""cl"", as in the word clap",,,,
_scoawa,Click on a word at the top of your screen to complete the sentence.,,,,
_scooot1,"Click on one of the suffixes in Column ""B"" to make a word.",,,,
_scooot,Click on one of the three syllables to make a complete word.,,,,
_scotaf,Click on the answer for this question from the list below.,,,,
_scotbt,Click on the blend to select the word.,,,,
_scotct1,"Click on the column that makes the same sound of ""c""as the word on your screen.",,,,
_scotct,"Click on the column that makes the same sound of ""“ed”"" as the word on your screen.",,,,
_scotctm,"Click on the column that makes the same sound of ""g""as the word on your screen.",,,,
_scotlc,Click on the left column if the “c” is hard.,,,,
_scotlc1,Click on the left column if the “g” is hard.,,,,
_scotla,Click on the letter and compare its sound to your recording.,,,,
_scotlt,Click on the letter that makes the sound.,,,,
_scotla2,Click on the letters and compare their sound to your recording.,,,,
_scotoi,Click on the one I say.,,,,
_scltrc,Click on the right column if the “c” is soft.,,,,
_scltrc1,Click on the right column if the “g” is soft.,,,,
_scotst2,Click on the syllable to the left of this syllable to hear the rule.,,,,
_scotst1,Click on the syllable to the right of this syllable to hear the rule.,,,,
_scotst,Click on the syllable type for this syllable from the list below.,,,,
_scotwa1,Click on the word and compare it to your recording.,,,,
_scotwa,Click on the word and compare its sound to your recording.,,,,
_scowft,Click on words from the list below to complete the sentence.,,,,
_sctrba2,Click the record button and say the word on the screen.,,,,
_scotwo,Click the words on the right that match the numbers on the left.,,,,
_hcft,"Click this button to transfer a copy of your student history files to a Language Tune-""Up"" Kit For Schools system.",,,,
_scswte,Closed syllable words that end in...,,,,
_scolum,Column A contains the first syllables of three words.,,,,
_scbcts,"Column ""B"" contains the second syllables of three words.",,,,
_sctsbb,Complete the sentence below by typing in the missing word.,,,,
_scwamu,"Compound words are made ""up"" of two one syllable words.",,,,
_scompo,Compound words are words in which two one syllable words are joined together to make one word.,,,,
_scwhto,Compound words have two one syllable words which are joined together to make one word.,,,,
_scw1,compound words.,,,,
_wcongra,Congratulations!,,,,
_scdatc,Consonant digraphs are two consonants that weld together to make a new sound.,,,,
_scd,consonant digraphs.,,,,
_scarto,Consonants are all the other letters that are not vowels.,,,,
_scaoby,"Consonants are obstructed by your teeth, (""ch""- cheese), your mouth, (""th"" -these), or your lips, (""p"" - pig).",,,,
_sdeipt,Data error in sound pronunciation table. Call vendor.,,,,
_wdelay5,"delay .""5"" second",,,,
_wdelay1,"delay ""1"".""0"" second",,,,
_wdelay2,"delay ""2"".""0"" seconds",,,,
_sdotctf,"Depending on the consonant that follows the letters ""al"", the letter ""a"" will make the sound of double dotted ""a"".",,,,
_ldge,"""dge"" (the letters)",,,,
_sdyhts,Did you hear the sound made by the letter “c” in the word “ceiling”?,,,,
_sdivid,Divide that word into syllables.,,,,
_sdtwbt2,Divide the syllables between the consonant and the last vowel.,,,,
_sdtwbt,Divide the syllables between two or more consonants which fall between two vowels.,,,,
_sdtwis,Divide the word into syllables.,,,,
_sdytts,Do you think they sound the same?,,,,
_sdywte,Do you want to exit?,,,,
_sdylss1,Do your letter sounds sound like mine?,,,,
_sdoest,"Does the ""e"" make a sound?",,,,
_sdyass,"Does your ""a"" sound sound like mine?",,,,
_sdwas,"Don'""t"" worry about spelling it correctly.",,,,
_lddi,"Double dotted ""i"" (the letters).",,,,
_lddo,"Double Dotted ""O""",,,,
_lddy,double dotted Y,,,,
_ldr,"""dr"" (the letters)",,,,
_lea,"""ea"" (the letters)",,,,
_sea1,"""ea1"" (the sounds - EAT)",,,,
_sea2,"""ea2"" (the sounds - HEAD)",,,,
_sea3,"""ea3"" (the sounds - STEAK)",,,,
_selmio,Each letter makes its own sound.,,,,
_seswha,Each sound will have a keyword to help you remember it.,,,,
_seusha,Each unique sound has a keyword associated with it.,,,,
_sevmmd,Each vowel makes many different sounds.,,,,
_lear,ear (the letters),,,,
_led,"""ed"" (the letters)",,,,
_sedd,"""edd"" (the sound of /""d""/)",,,,
_sedt,"""edt"" (the sound of /""t""/)",,,,
_lee,"""ee"" (the letters)",,,,
_see,"""ee"" (the sounds)",,,,
_lei,"""ei"" (the letters)",,,,
_leigh,"""eigh"" (the letters)",,,,
_seigh,"""eigh"" (the sounds)",,,,
_see2,"eighteen, eighteenth",,,,
_see1,"eleven, eleventh",,,,
_seisrw,Employ is the root word.,,,,
_len,"""en"" (the letters).",,,,
_leng,"""eng"" (the letters)",,,,
_seng,"""eng"" (the sound)",,,,
_lenk,"""enk"" (the letters)",,,,
_senk,"""enk"" (the sound)",,,,
_seyiya,"Enter ""Y"" if yes, and ""N"" if ""no"".",,,,
