
Title,ID,ru,sp,du
Title,ID,Название,Título,Titel
Hello,,Привет,Hola,Hallo
“Bye”,,«До свидания»,Bye,Bye
Morning,,Утро,Mañana,Ochtend
A word must always have a vowel sound.,,Слово всегда должна иметь гласный звук.,Una palabra siempre debe tener un sonido de vocal.,Een woord moet altijd een klinkergeluid.
Title,ID,ru,sp,du
Title,ID,Название,Título,Titel
Hello,,Привет,Hola,Hallo
“Bye”,,«До свидания»,Bye,Bye
Morning,,Утро,Mañana,Ochtend
A word must always have a vowel sound.,,Слово всегда должна иметь гласный звук.,Una palabra siempre debe tener un sonido de vocal.,Een woord moet altijd een klinkergeluid.
